gene,protein_full_name,status,category,score,nuclear_score,size_score,novelty_score,structure_score,domain_score,ppi_score,corroboration_score,recommendation,pubmed_count,localization,rejection_reason,source_table_status,source_table_category,report_path,docs_report_path,category_page,lines,has_hpa,has_if_image,has_pae,has_pdb,has_ppi,has_pubmed,has_scoring_table,has_manual_review,duplicate_count,duplicate_type,is_primary_candidate,known_backlog_flags,parse_quality,parse_notes
CHRAC1,Chromatin accessibility complex protein 1 (CHRAC-1) (Chromatin accessibility complex 15 kDa protein) (CHRAC-15) (HuCHRAC15) (DNA polymerase epsilon subunit p15),scored,nucleoplasm,95.4,10,8,10,9,9,10,+1.5,⭐⭐⭐⭐⭐,9,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/CHRAC1/CHRAC1-evaluation.md,reports/CHRAC1.html,category/nucleoplasm.html,192,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
BPNT1,"3'(2'),5'-bisphosphate nucleotidase 1 (EC 3.1.3.7) (3'-phosphoadenosine 5'-phosphate phosphatase) (PAP phosphatase) (Bisphosphate 3'-nucleotidase 1) (BPntase 1) (HsPIP) (Inositol-polyphosphate 1-phosphatase) (EC 3.1.3.57)",scored,nuclear-speckle,93.7,9,10,10,10,7,10,+1.5,⭐⭐⭐⭐⭐,16,Nuclear speckles; 额外: Nuclear speckles,,scored,nuclear-speckle,detail/nuclear-speckle/BPNT1/BPNT1-evaluation.md,reports/BPNT1.html,category/nuclear-speckle.html,185,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CENPO,Centromere protein O (CENP-O) (Interphase centromere complex protein 36),scored,nucleoplasm,93.6,10,10,9,9,9,10,+1.2,⭐⭐⭐⭐⭐,28,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/CENPO/CENPO-evaluation.md,reports/CENPO.html,category/nucleoplasm.html,196,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
BUD31,Protein BUD31 homolog (Protein EDG-2) (Protein G10 homolog),scored,nucleoplasm,93.4,9,8,10,10,7,10,+3.0,⭐⭐⭐⭐⭐,19,"Nucleoplasm (HPA Approved, A-431)",,scored,nucleoplasm,detail/nucleoplasm/BUD31/BUD31-evaluation.md,reports/BUD31.html,category/nucleoplasm.html,194,True,False,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CENPQ,Centromere protein Q (CENP-Q),scored,nucleoplasm,93,10,10,10,7,9,10,+1.2,⭐⭐⭐⭐⭐,18,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/CENPQ/CENPQ-evaluation.md,reports/CENPQ.html,category/nucleoplasm.html,193,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
MNAT1,CDK-activating kinase assembly factor MAT1 (CDK7/cyclin-H assembly factor) (Cyclin-G1-interacting protein) (Menage a trois) (RING finger protein 66) (RING finger protein MAT1) (p35) (p36),scored,nucleoplasm,90.2,8,10,8,10,10,10,+3,⭐⭐⭐⭐⭐,32,HPA subcellular IF 图像可用（见下方 HPA IF 图像修正块）,,scored,nucleoplasm,detail/nucleoplasm/MNAT1/MNAT1-evaluation.md,reports/MNAT1.html,category/nucleoplasm.html,187,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
CDADC1,Cytidine and dCMP deaminase domain-containing protein 1 (EC 3.5.4.5) (Cytidine deaminase) (Testis development protein NYD-SP15),scored,nucleoplasm,89.3,10,10,10,7,7,9,+1.5,⭐⭐⭐⭐⭐,4,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/CDADC1/CDADC1-evaluation.md,reports/CDADC1.html,category/nucleoplasm.html,189,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CENPN,Centromere protein N (CENP-N) (Interphase centromere complex protein 32),scored,nucleoplasm,89.3,10,10,7,9,10,10,+1.5,⭐⭐⭐⭐⭐,61,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/CENPN/CENPN-evaluation.md,reports/CENPN.html,category/nucleoplasm.html,193,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
TLNRD1,Talin rod domain-containing protein 1,scored,nucleoplasm,89.1,8,10,10,10,8,8,+2,⭐⭐⭐⭐⭐,5,Nucleoplasm (Approved),,scored,nucleoplasm,detail/nucleoplasm/TLNRD1/TLNRD1-evaluation.md,reports/TLNRD1.html,category/nucleoplasm.html,200,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
ARMC8,Armadillo repeat-containing protein 8,scored,nucleus-cytoplasm,88.5,9,10,8,10,7,10,+2.0,⭐⭐⭐⭐⭐,23,"Nucleoplasm; 额外: Nucleoplasm, Vesicles, Cytosol",,scored,nucleus-cytoplasm,detail/nucleus-cytoplasm/ARMC8/ARMC8-evaluation.md,reports/ARMC8.html,category/nucleus-cytoplasm.html,192,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
